321729,2986,40,40,1,0,0
321729,2987,40,40,1,0,0
321729,2988,40,40,1,0,0
321729,2989,40,40,1,0,0
321729,2991,40,40,1,0,0
321729,2992,40,40,1,0,0
321729,2993,40,40,1,0,0
321729,2994,40,40,1,0,0
321730,2986,40,40,1,0,0
321730,2987,40,40,1,0,0
321730,2988,40,40,1,0,0
321730,2989,40,40,1,0,0
321730,2991,40,40,1,0,0
321730,2992,40,40,1,0,0
321730,2993,40,40,1,0,0
321730,2994,40,40,1,0,0
321731,2986,40,40,1,0,0
321731,2987,40,40,1,0,0
321731,2988,40,40,1,0,0
321731,2989,40,40,1,0,0
321731,2991,40,40,1,0,0
321731,2992,40,40,1,0,0
321731,2993,40,40,1,0,0
321731,2994,40,40,1,0,0
321732,2986,40,40,1,0,0
321732,2987,40,40,1,0,0
321732,2988,40,40,1,0,0
321732,2989,40,40,1,0,0
321732,2991,40,40,1,0,0
321732,2992,40,40,1,0,0
321732,2993,40,40,1,0,0
321732,2994,40,40,1,0,0
321735,2986,40,40,1,0,0
321735,2987,40,40,1,0,0
321735,2988,40,40,1,0,0
321735,2989,40,40,1,0,0
321735,2991,40,40,1,0,0
321735,2992,40,40,1,0,0
321735,2993,40,40,1,0,0
321735,2994,40,40,1,0,0
