RE+1_R3_CH13_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = 0.92056, eta max = 0.965453, phi min = 2.00984, phi max = 2.17895 OK
RE+1_R3_CH13_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = 0.966619, eta max = 1.06346, phi min = 2.00984, phi max = 2.17895 OK
RE+1_R3_CH13_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = 1.06486, eta max = 1.14891, phi min = 2.00984, phi max = 2.17895 OK
RE-1_R2_CH19_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = -1.23524, eta max = -1.34109, phi min = -3.05692, phi max = 3.05692 OK
RE-1_R2_CH19_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = -1.34323, eta max = -1.45687, phi min = -3.0569, phi max = 3.0569 OK
RE-1_R2_CH19_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = -1.45939, eta max = -1.69033, phi min = -3.05686, phi max = 3.05686 OK
RE+1_R2_CH19_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = 1.23524, eta max = 1.34109, phi min = 3.05692, phi max = -3.05692 OK
RE+1_R2_CH19_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = 1.34323, eta max = 1.45687, phi min = 3.0569, phi max = -3.0569 OK
RE+1_R2_CH19_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = 1.45939, eta max = 1.69033, phi min = 3.05686, phi max = -3.05686 OK
RE-1_R3_CH19_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = -0.92056, eta max = -0.965453, phi min = -3.05704, phi max = 3.05704 OK
RE-1_R3_CH19_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = -0.966618, eta max = -1.06346, phi min = -3.05704, phi max = 3.05704 OK
RE-1_R3_CH19_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = -1.06486, eta max = -1.14891, phi min = -3.05704, phi max = 3.05704 OK
RE+1_R3_CH19_A ,  distance to beam line  = 661.304, distance to beam line max = 681.454, eta min = 0.92056, eta max = 0.965453, phi min = 3.05704, phi max = -3.05704 OK
RE+1_R3_CH19_B ,  distance to beam line  = 602.273, distance to beam line max = 640.223, eta min = 0.966618, eta max = 1.06346, phi min = 3.05704, phi max = -3.05704 OK
RE+1_R3_CH19_C ,  distance to beam line  = 535.327, distance to beam line max = 563.327, eta min = 1.06486, eta max = 1.14891, phi min = 3.05704, phi max = -3.05704 OK
RE-1_R2_CH25_A ,  distance to beam line  = 435.186, distance to beam line max = 461.936, eta min = -1.23524, eta max = -1.34109, phi min = -2.00972, phi max = -2.17907 OK
RE-1_R2_CH25_B ,  distance to beam line  = 382.877, distance to beam line max = 407.377, eta min = -1.34323, eta max = -1.45687, phi min = -2.0097, phi max = -2.17909 OK
RE-1_R2_CH25_C ,  distance to beam line  = 317.686, distance to beam line max = 357.386, eta min = -1.45939, eta max = -1.69033, phi min = -2.00967, phi max = -2.17912 OK
